iterations,best,worst,avg
1,30716.0,36017.0,33186.7
2,30716.0,54890.0,33507.85
3,30716.0,40164.0,31181.42
4,30672.0,37759.0,31000.824
5,30672.0,37981.0,31064.68
6,30672.0,37332.0,31033.99
7,30672.0,38160.0,30951.464
8,30598.0,37574.0,30948.346
9,30598.0,37549.0,31024.724
10,30598.0,38040.0,30877.868
11,30598.0,38005.0,31025.42
12,30598.0,37858.0,30829.656
13,30598.0,38135.0,30835.27
14,30598.0,38167.0,30881.718
15,30598.0,37747.0,30834.862
16,30598.0,37206.0,30898.4
17,30598.0,38296.0,30925.688
18,30598.0,37641.0,30961.492
19,30598.0,37846.0,30898.362
20,30598.0,38630.0,30989.012
21,30598.0,37272.0,30798.174
22,30598.0,37458.0,30910.136
23,30598.0,38695.0,30839.478
24,30598.0,37436.0,30796.054
25,30598.0,38038.0,30918.808
26,30598.0,38373.0,30893.296
27,30598.0,38014.0,30884.434
28,30598.0,37846.0,30879.524
29,30598.0,37977.0,30914.946
30,30598.0,38100.0,30919.746
31,30598.0,37713.0,30900.232
32,30351.0,37592.0,30876.348
33,30351.0,38663.0,30927.002
34,30254.0,37108.0,30720.166
35,30014.0,37514.0,30563.042
36,30014.0,36845.0,30524.878
37,29856.0,37364.0,30376.088
38,29765.0,36734.0,30296.54
39,29753.0,36624.0,30274.31
40,29753.0,36753.0,30266.89
41,29753.0,37206.0,30215.394
42,29753.0,36916.0,30070.2
43,29753.0,36701.0,30062.41
44,29753.0,37284.0,30004.308
45,29753.0,37276.0,29965.402
46,29753.0,36377.0,29981.662
47,29753.0,36469.0,29968.126
48,29753.0,37734.0,30106.62
49,29753.0,37160.0,30032.66
50,29753.0,37108.0,29954.148
51,29753.0,36336.0,30044.126
52,29753.0,37076.0,30052.836
53,29753.0,36749.0,30024.34
54,29664.0,36874.0,29979.42
55,29389.0,36905.0,30312.548
56,29389.0,37043.0,30005.33
57,29389.0,36518.0,29674.262
58,29389.0,37017.0,29699.828
59,29389.0,37487.0,29641.842
60,29389.0,36796.0,29667.97
61,29389.0,36427.0,29645.848
62,29389.0,36371.0,29713.034
63,29213.0,35397.0,29725.032
64,29213.0,36261.0,29672.656
65,29213.0,36408.0,29557.432
66,29213.0,36765.0,29584.088
67,29213.0,36867.0,29440.802
68,29213.0,36582.0,29433.814
69,29213.0,36198.0,29508.768
70,29213.0,36630.0,29451.516
71,29213.0,36299.0,29426.658
72,29213.0,37278.0,29548.224
73,29213.0,36168.0,29507.882
74,29213.0,35960.0,29436.86
75,29213.0,35708.0,29474.692
76,29155.0,36646.0,29483.272
77,29155.0,35882.0,29504.362
