iterations,best,worst,avg
188,22634.0,29767.0,22885.468
189,22634.0,30149.0,22937.552
190,22634.0,29802.0,22877.024
191,22634.0,29046.0,22916.374
192,22586.0,30050.0,22862.848
193,22586.0,29804.0,22964.586
194,22586.0,29786.0,22874.286
195,22586.0,29523.0,22856.026
196,22586.0,30040.0,22892.968
197,22586.0,30218.0,22914.336
198,22586.0,29621.0,22896.534
199,22586.0,29735.0,22844.998
200,22586.0,30117.0,22816.508
201,22586.0,29837.0,22861.11
202,22586.0,29398.0,22849.706
203,22586.0,28530.0,22815.676
204,22586.0,29150.0,22855.794
205,22403.0,29136.0,22844.844
206,22403.0,30608.0,22969.428
207,22403.0,29916.0,22720.644
208,22403.0,29819.0,22682.49
209,22403.0,29315.0,22692.036
210,22403.0,29689.0,22689.45
211,22403.0,29441.0,22686.558
212,22403.0,28363.0,22603.258
213,22403.0,28031.0,22684.094
214,22372.0,30021.0,22685.486
215,22372.0,29500.0,22676.11
216,22372.0,29990.0,22738.046
217,22372.0,29011.0,22677.362
218,22372.0,28437.0,22694.13
219,22372.0,29551.0,22617.23
220,22372.0,29284.0,22645.482
221,22372.0,28382.0,22610.266
222,22372.0,29496.0,22682.666
223,22372.0,29666.0,22679.312
224,22372.0,29522.0,22566.456
225,22372.0,29971.0,22639.608
226,22372.0,28150.0,22582.176
227,22372.0,29439.0,22637.718
228,22372.0,29645.0,22669.756
229,22372.0,29162.0,22631.152
230,22372.0,28960.0,22628.508
231,22372.0,28689.0,22685.382
232,22372.0,29350.0,22666.052
233,22372.0,28323.0,22612.914
234,22372.0,29885.0,22741.064
235,22372.0,29184.0,22612.188
236,22372.0,28903.0,22564.516
237,22372.0,29371.0,22623.276
238,22372.0,29562.0,22647.672
239,22372.0,29962.0,22750.868
240,22372.0,29930.0,22610.422
241,22372.0,29909.0,22720.794
242,22372.0,28977.0,22645.412
243,22372.0,29687.0,22708.618
244,22372.0,29779.0,22650.71
245,22372.0,29234.0,22667.06
246,22372.0,28874.0,22655.59
247,22372.0,29287.0,22628.09
248,22372.0,28738.0,22720.826
249,22372.0,29309.0,22700.6
250,22304.0,29962.0,22650.984
251,22304.0,29789.0,22659.6
252,22304.0,28972.0,22635.216
253,22304.0,29068.0,22565.92
254,22304.0,29765.0,22590.704
255,22304.0,29656.0,22600.09
256,22304.0,29744.0,22594.894
257,22304.0,29744.0,22588.704
258,22304.0,28986.0,22622.34
259,22304.0,28856.0,22543.038
260,22304.0,28968.0,22519.32
261,22304.0,29303.0,22583.276
262,22304.0,29948.0,22600.738
263,22304.0,29903.0,22616.012
264,22304.0,29059.0,22514.24
265,22028.0,28701.0,22632.85
266,22028.0,29316.0,22586.542
267,22028.0,28348.0,22302.458
268,22028.0,27828.0,22209.48
269,22028.0,28782.0,22303.566
270,22028.0,27294.0,22222.144
271,22028.0,28541.0,22245.092
272,22028.0,29694.0,22331.186
273,22028.0,27743.0,22265.406
274,22028.0,28548.0,22219.702
275,22028.0,28071.0,22190.768
276,22028.0,28943.0,22297.484
277,22028.0,27892.0,22319.158
278,22028.0,29618.0,22340.79
279,22028.0,29178.0,22326.208
280,22028.0,29152.0,22272.424
281,22028.0,29158.0,22281.216
282,22028.0,29543.0,22333.274
283,22028.0,29021.0,22280.14
284,22028.0,28851.0,22307.99
285,22028.0,29537.0,22264.262
286,22028.0,29446.0,22328.954
287,22028.0,29073.0,22270.064
288,22028.0,28742.0,22362.512
289,22028.0,28834.0,22301.106
290,22028.0,29397.0,22333.152
291,22028.0,28897.0,22339.796
292,22028.0,28901.0,22326.27
293,22028.0,29000.0,22252.764
294,22028.0,29694.0,22251.598
295,22028.0,29218.0,22271.952
296,22028.0,29094.0,22229.362
297,22028.0,29170.0,22378.26
298,22028.0,29287.0,22203.384
299,22028.0,28666.0,22360.254
300,22028.0,28270.0,22329.446
301,22028.0,28526.0,22349.664
302,22028.0,28884.0,22270.99
303,22028.0,29528.0,22308.348
304,22028.0,29537.0,22343.052
