iterations,best,worst,avg
1,35230.0,42157.0,37627.78
2,35230.0,74880.0,42416.834
3,35230.0,42196.0,35522.356
4,35230.0,42116.0,35610.924
5,35210.0,42895.0,35477.012
6,35210.0,42370.0,35601.594
7,35210.0,42725.0,35445.728
8,35210.0,42462.0,35430.596
9,35210.0,42392.0,35506.092
10,35205.0,42723.0,35511.892
11,35205.0,42259.0,35507.992
12,35205.0,42475.0,35579.136
13,35205.0,41922.0,35532.906
14,35189.0,42299.0,35477.474
15,35189.0,42935.0,35435.858
16,35189.0,42679.0,35466.954
17,35189.0,42525.0,35505.606
18,35189.0,41941.0,35585.692
19,35189.0,42668.0,35444.348
20,35189.0,42476.0,35469.38
21,35189.0,42418.0,35521.71
22,35166.0,41403.0,35435.788
23,35166.0,41836.0,35516.602
24,35166.0,44306.0,35928.472
25,35166.0,42403.0,35457.564
26,35166.0,42308.0,35455.894
27,35166.0,41932.0,35512.84
28,35166.0,42765.0,35412.958
29,35166.0,41868.0,35464.17
30,35038.0,42469.0,35365.682
31,35038.0,44447.0,35698.242
32,35038.0,46567.0,35961.21
33,35038.0,46579.0,35870.262
34,35038.0,42064.0,35271.35
35,35038.0,42817.0,35325.5
36,34819.0,41093.0,35188.124
37,34819.0,45455.0,35920.346
38,34819.0,42056.0,35039.864
39,34819.0,41067.0,35033.742
40,34819.0,41726.0,35071.558
41,34819.0,41874.0,35119.55
42,34819.0,41891.0,35098.304
43,34819.0,42155.0,35055.324
44,34736.0,41080.0,35070.954
45,34736.0,41874.0,35267.776
46,34736.0,41157.0,35030.154
47,34736.0,42251.0,34995.834
48,34736.0,42255.0,35073.814
49,34736.0,42189.0,35008.506
50,34736.0,41737.0,34988.766
51,34736.0,42466.0,34986.166
52,34719.0,42572.0,35029.518
53,34719.0,40374.0,35001.512
54,34719.0,41647.0,35251.352
55,34719.0,40684.0,35039.3
56,34689.0,41747.0,34937.352
57,34689.0,41617.0,35056.55
58,34689.0,43231.0,35378.46
59,34689.0,41857.0,34970.674
60,34689.0,42549.0,35056.924
61,34689.0,41380.0,34951.098
62,34689.0,42252.0,35002.886
63,34689.0,40299.0,34897.778
64,34689.0,41993.0,34979.298
65,34689.0,42293.0,34955.796
66,34689.0,41293.0,34981.776
67,34494.0,42386.0,34921.066
68,34494.0,42049.0,35017.542
69,34494.0,43827.0,35318.342
70,34432.0,40952.0,34711.168
71,34417.0,42212.0,34732.99
72,34355.0,41175.0,34805.844
73,34355.0,41809.0,34799.718
74,34287.0,41894.0,34633.948
75,34287.0,47955.0,35217.194
76,34287.0,48560.0,36045.786
77,34144.0,41363.0,34587.67
78,34112.0,41470.0,34627.406
79,34112.0,41625.0,34538.906
80,34078.0,41326.0,34398.058
81,34078.0,41601.0,34491.18
82,34078.0,41773.0,34428.846
83,34078.0,40729.0,34352.432
84,34078.0,41193.0,34366.104
85,34031.0,40120.0,34382.418
86,34031.0,41151.0,34381.072
87,34023.0,41654.0,34401.104
88,34023.0,41656.0,34332.132
89,34023.0,40709.0,34354.026
90,34023.0,40731.0,34363.868
91,34023.0,41298.0,34330.768
92,34023.0,41217.0,34275.038
93,34023.0,40513.0,34274.358
94,34023.0,41024.0,34340.55
95,34023.0,40563.0,34335.442
96,34023.0,41371.0,34346.848
97,34023.0,41436.0,34334.32
98,33909.0,40121.0,34314.696
99,33909.0,41106.0,34306.588
100,33909.0,40511.0,34119.192
101,33909.0,41112.0,34157.646
102,33909.0,40928.0,34153.174
103,33909.0,41323.0,34117.172
104,33909.0,41174.0,34264.386
105,33909.0,39566.0,34186.75
106,33909.0,40466.0,34132.272
107,33853.0,40880.0,34138.804
108,33853.0,40371.0,34215.466
109,33853.0,41402.0,34272.478
110,33853.0,40663.0,34083.73
111,33745.0,41190.0,34164.546
112,33745.0,41472.0,34205.334
113,33745.0,41278.0,34069.0
114,33745.0,40606.0,34155.226
115,33745.0,40829.0,33927.812
116,33745.0,40681.0,33979.02
117,33745.0,40938.0,34006.164
118,33745.0,41170.0,34034.668
119,33509.0,41370.0,34019.222
120,33509.0,40880.0,33807.958
121,33509.0,40635.0,33859.922
122,33509.0,39822.0,33768.088
123,33509.0,41288.0,33759.096
124,33509.0,40104.0,33735.632
125,33509.0,40003.0,33709.684
126,33509.0,40318.0,33770.532
127,33509.0,40554.0,33713.444
128,33509.0,40755.0,33794.246
129,33509.0,40168.0,33792.608
130,33509.0,41127.0,33789.064
131,33509.0,41262.0,33783.566
132,33509.0,41022.0,33877.54
133,33509.0,41602.0,33860.06
134,33327.0,40990.0,33877.228
135,33327.0,38782.0,33584.558
136,33327.0,40951.0,33675.522
137,33327.0,40648.0,33507.94
138,33327.0,40331.0,33578.052
139,33327.0,40470.0,33634.062
140,33327.0,40229.0,33679.852
141,33327.0,40656.0,33678.642
142,33327.0,40219.0,33590.604
143,33327.0,40448.0,33596.73
144,33327.0,40515.0,33608.818
145,33327.0,40900.0,33519.576
