iterations,best,worst,avg
188,7702.0,10090.0,7786.718
189,7702.0,10076.0,7788.14
190,7702.0,10090.0,7781.288
191,7702.0,10215.0,7795.226
192,7702.0,10076.0,7791.214
193,7702.0,9963.0,7780.134
194,7702.0,10187.0,7786.942
195,7702.0,9603.0,7767.834
196,7702.0,10129.0,7790.91
197,7702.0,9782.0,7786.656
198,7702.0,10612.0,7799.378
199,7702.0,10044.0,7775.526
200,7702.0,10282.0,7761.082
201,7702.0,10030.0,7786.278
202,7702.0,10442.0,7765.292
203,7702.0,10215.0,7788.566
204,7702.0,9994.0,7779.644
205,7702.0,9831.0,7785.608
206,7702.0,9839.0,7785.84
207,7702.0,10076.0,7761.304
208,7702.0,10576.0,7804.648
209,7702.0,10187.0,7763.45
210,7702.0,10470.0,7799.746
211,7702.0,10612.0,7795.534
212,7702.0,10013.0,7786.836
213,7702.0,10008.0,7792.024
214,7702.0,10013.0,7815.532
215,7702.0,10129.0,7787.148
216,7702.0,9724.0,7780.058
217,7702.0,10084.0,7769.086
218,7702.0,10157.0,7765.23
219,7702.0,10138.0,7790.074
220,7702.0,10076.0,7764.632
221,7702.0,10442.0,7777.452
222,7702.0,9740.0,7757.398
223,7702.0,9850.0,7794.298
224,7702.0,10129.0,7781.414
225,7702.0,9963.0,7786.486
226,7702.0,9963.0,7796.342
227,7702.0,10013.0,7774.332
228,7702.0,9515.0,7767.868
229,7702.0,10084.0,7786.71
230,7702.0,9329.0,7766.552
231,7702.0,10292.0,7784.256
232,7702.0,10129.0,7815.704
233,7702.0,10215.0,7760.122
234,7702.0,9974.0,7792.27
235,7702.0,9525.0,7756.842
236,7702.0,9803.0,7752.298
237,7702.0,9698.0,7791.568
238,7702.0,10442.0,7801.604
239,7702.0,9994.0,7769.202
240,7702.0,10044.0,7784.866
241,7702.0,9454.0,7755.612
242,7702.0,10061.0,7761.884
243,7702.0,10084.0,7773.618
244,7702.0,9589.0,7774.57
245,7702.0,9858.0,7768.014
246,7702.0,10013.0,7803.062
247,7702.0,9963.0,7760.298
248,7702.0,10282.0,7808.61
249,7702.0,9974.0,7772.844
250,7702.0,9492.0,7774.974
251,7702.0,9608.0,7775.488
252,7702.0,9697.0,7781.072
253,7702.0,10044.0,7771.02
254,7702.0,10097.0,7805.394
255,7702.0,9682.0,7781.322
256,7702.0,10576.0,7778.812
257,7702.0,9929.0,7805.97
258,7702.0,10061.0,7799.346
259,7702.0,9974.0,7772.01
260,7702.0,10282.0,7784.042
261,7702.0,10084.0,7793.336
262,7702.0,10292.0,7780.314
263,7702.0,10612.0,7809.608
264,7702.0,10215.0,7768.786
265,7702.0,10138.0,7785.276
266,7702.0,9798.0,7770.978
267,7702.0,9898.0,7778.844
268,7702.0,9782.0,7765.534
269,7702.0,9576.0,7768.544
270,7702.0,9974.0,7782.92
271,7702.0,9929.0,7783.6
272,7702.0,10157.0,7795.502
273,7702.0,10292.0,7806.804
274,7702.0,10215.0,7761.722
275,7702.0,9798.0,7769.608
276,7702.0,10079.0,7796.768
277,7702.0,10576.0,7778.408
278,7702.0,10036.0,7814.106
279,7702.0,9974.0,7788.442
280,7702.0,9817.0,7775.16
281,7702.0,10061.0,7765.052
282,7702.0,10157.0,7792.222
283,7702.0,10090.0,7778.078
284,7702.0,10215.0,7793.33
285,7702.0,10282.0,7792.06
286,7702.0,9874.0,7783.914
287,7702.0,10084.0,7769.848
288,7702.0,10612.0,7797.914
289,7702.0,9200.0,7751.504
290,7702.0,10215.0,7812.178
291,7702.0,9798.0,7792.826
292,7702.0,9698.0,7792.082
293,7702.0,10013.0,7769.984
294,7702.0,10084.0,7792.084
295,7702.0,10442.0,7789.62
296,7702.0,10187.0,7800.636
297,7702.0,10215.0,7788.018
298,7702.0,10044.0,7790.95
299,7702.0,9590.0,7788.508
300,7702.0,10442.0,7769.578
301,7702.0,9651.0,7788.386
302,7702.0,10129.0,7784.778
303,7702.0,10157.0,7764.564
304,7702.0,9898.0,7791.73
305,7702.0,10215.0,7778.738
306,7702.0,10061.0,7798.35
307,7702.0,9933.0,7786.316
308,7702.0,9590.0,7776.96
309,7702.0,10442.0,7780.776
310,7702.0,9698.0,7796.694
311,7702.0,9769.0,7789.876
312,7702.0,9595.0,7768.822
313,7702.0,9587.0,7782.644
314,7702.0,9966.0,7789.41
315,7702.0,9512.0,7767.21
316,7702.0,10470.0,7792.332
317,7702.0,9595.0,7765.852
318,7702.0,9963.0,7777.196
319,7702.0,10187.0,7786.3
320,7702.0,9963.0,7767.576
321,7702.0,10013.0,7775.214
322,7702.0,9497.0,7775.544
323,7702.0,9898.0,7773.092
324,7702.0,9966.0,7782.08
325,7702.0,10292.0,7773.528
326,7702.0,10044.0,7811.96
327,7702.0,9493.0,7781.094
328,7702.0,10061.0,7762.818
329,7702.0,9800.0,7760.886
330,7702.0,9662.0,7771.25
331,7702.0,10442.0,7776.438
332,7702.0,9468.0,7757.848
333,7702.0,9874.0,7776.282
334,7702.0,9933.0,7795.282
335,7702.0,9892.0,7771.454
336,7702.0,9556.0,7781.522
337,7702.0,9959.0,7793.928
338,7702.0,9790.0,7763.504
339,7702.0,10182.0,7789.716
340,7702.0,10019.0,7770.208
341,7702.0,9994.0,7785.894
342,7702.0,10442.0,7776.004
343,7702.0,10292.0,7826.07
344,7702.0,10612.0,7770.114
345,7702.0,10407.0,7790.996
346,7702.0,10129.0,7778.502
347,7702.0,10182.0,7788.966
348,7702.0,10090.0,7783.876
349,7702.0,9682.0,7769.068
350,7702.0,10129.0,7770.64
351,7702.0,10044.0,7769.704
352,7702.0,10442.0,7783.45
353,7702.0,10442.0,7801.774
354,7702.0,9632.0,7774.724
355,7702.0,10407.0,7805.91
356,7702.0,10292.0,7801.0
357,7702.0,10442.0,7779.324
358,7702.0,10061.0,7773.864
359,7702.0,10470.0,7800.642
360,7702.0,9512.0,7775.072
361,7702.0,10292.0,7819.362
