alg,best,worst,avg,mean
Greedy,30716.0,36017.0,33185.77333333333,1164.8416324214302
Random,218868.0,294900.0,257775.5883,10092.002215527062
Genetic,27515.0,28727.0,28149.8,334.9802382230928
