alg,best,worst,avg,mean
Random,4765312.0,5462206.0,5109382.703,86406.86319283898
Greedy,347086.0,377998.0,360645.9159159159,5018.382231173219
Genetic,325133.0,332380.0,329392.9,2356.7140874531215
