alg,best,worst,avg,mean
Greedy,8216.0,10332.0,9407.288461538461,471.21815691389213
Random,23611.0,34881.0,29931.7273,1593.849741517283
Genetic,7578.0,7892.0,7790.5,110.51085919492256
